Symbol;Entrez Gene Name;Entrez Gene ID for Human;;
AGTPBP1;ATP/GTP binding protein 1;23287;;
AJUBA;AJUBA LIM protein;84962;;
AMER2;APC membrane recruitment protein 2;219287;;
APC;adenomatous polyposis coli;324;;
APC2;adenomatosis polyposis coli 2;10297;;
AR;androgen receptor;367;;
ARHGAP21;Rho GTPase activating protein 21;57584;;
ARHGEF7;Rho guanine nucleotide exchange factor (GEF) 7;8874;;
ASPM;abnormal spindle microtubule assembly;259266;;
ATAT1;alpha tubulin acetyltransferase 1;79969;;
AURKA;aurora kinase A;6790;;
AURKB;aurora kinase B;9212;;
BAG3;BCL2-associated athanogene 3;9531;;
BICD2;BICD cargo adaptor 2;23299;;
BIRC5;baculoviral IAP repeat containing 5;332;;
BOD1;FAM44B;91272;;
BRCA1;breast cancer 1;672;;
BRCA2;breast cancer 2;675;;
CAB39;calcium binding protein 39;51719;;
CCND1;cyclin-D1;595;;
CCT2;chaperonin containing TCP1, subunit 2 (beta);10576;;
CDK1;cyclin-dependent kinase 1;983;;
CDK2;cyclin-dependent kinase 2;1017;;
CDK3;cyclin-dependent kinase 3;1018;;
CDK4;cyclin-dependent kinase 4;1019;;
CDK5;cyclin-dependent kinase 5;1020;;
CDK5RAP2;CDK5 regulatory subunit associated protein 2;55755;;
CDK6;cyclin-dependent kinase 6;1021;;
CENPA;centromere protein A;1058;;
CENPB;centromere protein B;1059;;
CENPC;centromere protein C;1060;;
CENPF;centromere protein F;1063;;
CENPH;centromere protein H;64946;;
CENPJ;centromere protein J;55835;;
CKAP5;CH-TOG;9793;;
CLASP1;cytoplasmic linker associated protein 1;23332;;
CLASP2;cytoplasmic linker associated protein 2;23122;;
CLIP1;CAP-GLY domain containing linker protein 1;6249;;
CLIP2;CAP-GLY domain containing linker protein 2;7461;;
CLIP4;CAP-GLY domain containing linker protein 4;79745;;
COPS5;COP9 signalosome subunit 5;10987;;
COPS7A;COP9 signalosome subunit 7A;50813;;
COPS8;COP9 signalosome subunit 8;10920;;
CSN3;casein kappa;1448;;
CSNK1D;casein kinase 1, delta;1453;;
CSNK1E;casein kinase 1, epsilon;1454;;
CSNK2A1;casein kinase 2, alpha1;1457;;
CTNNB1;catenin (cadherin-associated protein), beta 1, 88kDa;1499;;
CTTNBP2;Cortactin-binding protein 2 (CortBP2);83992;;
CUL7;cullin 7;9820;;
CYFIP1;cytoplasmic FMR1 interacting protein 1;23191;;
CYFIP2;cytoplasmic FMR1 interacting protein 2;26999;;
CYLD;cylindromatosis (turban tumor syndrome);1540;;
CYTSB;SPECC1 sperm antigen with calponin homology and coiled-coil domains 1;92521;;
DAW1;dynein assembly factor with WD repeats 1;164781;;
DCDC2;doublecortin domain containing 2;51473;;
DCTN1;dynactin 1 (p150);1639;;
DCTN2;dynactin 2 (p50);10540;;
DCX;doublecortin;1641;;
DDA3;proline/serine-rich coiled-coil 1 (PSRC1);84722;;
DIAPH1;diaphanous-related formin 1;1729;;
DIAPH2;diaphanous-related formin 2;1730;;
DIAPH3;diaphanous-related formin 3;81624;;
DISC1;disrupted in schizophrenia 1;27185;;
DNAAF1;dynein axonemal assembly factor 1;123872;;
DNAAF2;dynein axonemal assembly factor 2;55172;;
DNAAF3;dynein axonemal assembly factor 3;352909;;
DNAAF5;dynein axonemal assembly factor 5;54919;;
DNAH1;dynein axonemal heavy chain 1;25981;;
DNAH10;dynein axonemal heavy chain 10;196385;;
DNAH11;dynein axonemal heavy chain 11;8701;;
DNAH12;dynein axonemal heavy chain 12;201625;;
DNAH14;dynein axonemal heavy chain 14;127602;;
DNAH17;dynein axonemal heavy chain 17;8632;;
DNAH2;dynein axonemal heavy chain 2;146754;;
DNAH3;dynein axonemal heavy chain 3;55567;;
DNAH5;dynein axonemal heavy chain 5;1767;;
DNAH6;dynein axonemal heavy chain 6;1768;;
DNAH7;dynein axonemal heavy chain 7;56171;;
DNAH8;dynein axonemal heavy chain 8;1769;;
DNAH9;dynein axonemal heavy chain 9;1770;;
DNAI2;dynein axonemal intermediate chain 2;64446;;
DNAl1;dynein axonemal intermediate chain 1;27019;;
DNAL1;dynein axonemal light chain 1;83544;;
DNAL4;dynein axonemal light chain 4;10126;;
